id;name;started_academic_year;year
1;Cross-platform parallelism;Generic Trace;67166
2;Forge firewall Checking Account;Ergonomic tan;97358
3;connecting monitor Keys;grey JSON;69199
4;Central Functionality;Plastic alarm Metical;51781
5;mobile blue Engineer;Fish non-volatile;45892
6;online multi-byte;HDD Jamaican Dollar;83930
7;enterprise Buckinghamshire;Handcrafted reboot Savings Account;26140
8;Granite;solutions Ramp;86085
9;relationships invoice;redefine Engineer Russian Ruble;29543
10;Rhode Island;Persistent;62182
