id;name;short_name;address;email;contact;logo_link;logo;logo_content_type;tag_line;tenant_id
1;connecting;Forge Avon;compressing Unbranded Wooden Hat;Dorothy59@yahoo.com;Home Loan Account Iceland Krona;reintermediate cyan;../fake-data/blob/hipster.png;image/png;Home Loan Account;exploit purple deposit
2;plum;Soap;Fantastic Granite Soap Fantastic Plastic Table Face to face;Suzanne.Leffler48@gmail.com;Belarussian Ruble;complexity Shoes parse;../fake-data/blob/hipster.png;image/png;Shoes Research;parallelism bandwidth concept
3;productize transition;Concrete circuit;SCSI Savings Account;Alfredo32@hotmail.com;Savings Account;Outdoors;../fake-data/blob/hipster.png;image/png;Executive;bypassing
4;Integration Berkshire plug-and-play;Cheese silver Advanced;Israel Web;Roger.Friesen43@yahoo.com;Plastic;Technician Functionality;../fake-data/blob/hipster.png;image/png;focus group;monetize ROI South Carolina
5;Representative Administrator;Shore;Cheese Analyst;Hettie39@gmail.com;Officer;Senior;../fake-data/blob/hipster.png;image/png;Money Market Account Home Loan Account Avon;instruction set overriding Cambridgeshire
6;deliverables;ivory Islands;Assurance AI;Alexane_Hammes@hotmail.com;Handcrafted Common;Syrian Pound;../fake-data/blob/hipster.png;image/png;Bacon Handmade Steel Shirt backing up;invoice
7;functionalities standardization;Intranet Producer;Kids;Vincenzo.Durgan47@gmail.com;Taka;override;../fake-data/blob/hipster.png;image/png;Incredible Wooden Mouse iterate;generating Kansas incentivize
8;Tasty secured line Chair;vertical;feed deposit;Gisselle6@yahoo.com;Designer Handmade Fresh Gloves transmit;deliver Inlet;../fake-data/blob/hipster.png;image/png;Honduras;Practical
9;hacking;Computer Metrics upward-trending;Shirt Manat;Carmelo7@yahoo.com;ivory;Strategist invoice;../fake-data/blob/hipster.png;image/png;turquoise primary;algorithm seize
10;Fish Bedfordshire;Refined Cotton Computer wireless;Graphic Interface maximize;Remington.Crona17@gmail.com;implementation Configuration;cross-platform Program cyan;../fake-data/blob/hipster.png;image/png;Ergonomic;redundant New Hampshire
